id;full_name;email;phone
1;wireless Soft JSON;Jennie18@hotmail.com;1-208-654-0232 x47728
2;model;Freeman.Towne89@yahoo.com;501.521.8168 x85526
3;deposit metrics;Uriah_Adams16@gmail.com;318-906-4701
4;Incredible Maryland;Merritt.Kilback4@gmail.com;1-975-676-5687 x41264
5;Corporate Officer Computers;Olin48@hotmail.com;309-635-0096 x15350
6;toolset Awesome initiative;Roscoe.McClure@hotmail.com;1-367-789-5261
7;User-friendly;John.Mann38@yahoo.com;331.549.1225 x3102
8;Keyboard;Tyler_Mosciski@gmail.com;936-306-0556 x831
9;Ports holistic Configuration;Unique_Mohr@gmail.com;617-349-9366
10;Executive Ariary;Hallie55@hotmail.com;556-962-5425 x9143
