id;card_number;card_holder_name;expiration_date;customer_id
1;Texas;Pants Account;connect co;1
2;Shoes systems;Persistent supply-chains;panel;2
3;ivory;monitor;grow morph;3
4;Riel;programming Walk Bedfordshire;integrated;4
5;Aruba Usability Shirt;Lanka Visionary;Handmade c;5
6;Future channels;Global;Ball Agent;6
7;capacity leading-edge;bus;Tuna;7
8;payment Zloty Investment;pixel implementation SDD;overriding;8
9;SCSI Global vortals;Money Personal;Borders;9
10;Health Cotton;Practical pricing;Mouse fire;10
